galaxy,inner_slope,n_points_x,filename,p,q,MSE,n_points_y,regime_q,dist_to_nfw,dist_to_obs_core
UGC07608,2.6865575974832225,5,UGC07608_rotmod.dat,1.723860897409741,0.8494654440426213,0.0007610813010684,8.0,Peak,0.6865575974832225,0.0
UGC07690,1.2967804890703978,5,UGC07690_rotmod.dat,1.1351551645718376,0.537121356762698,0.0070190979422922,7.0,Peak,0.7032195109296022,0.9032195109296024
UGC07866,2.0353940289558605,5,UGC07866_rotmod.dat,1.16803083622579,2.999999999999995,0.002498841462228,7.0,Diffus,0.035394028955860524,0.16460597104413965
UGC08286,2.509774663602558,5,UGC08286_rotmod.dat,0.9020210620974028,1.064781447783321,0.0033153056117548,17.0,Peak,0.509774663602558,0.0
UGC08490,1.8023832580277066,5,UGC08490_rotmod.dat,0.7393959721178479,0.878465901168617,0.0013033343420423,30.0,Peak,0.1976167419722934,0.3976167419722936
UGC08550,1.8656095615736374,5,UGC08550_rotmod.dat,0.8474031979636605,1.4832775421790276,0.002242163210994,11.0,Transition,0.13439043842636256,0.33439043842636273
UGC08699,1.3143282810806534,5,UGC08699_rotmod.dat,1.3133142321862956,0.8125029623591288,0.0051340263613738,32.0,Peak,0.6856717189193466,0.8856717189193468
UGC08837,2.9343010278710953,5,UGC08837_rotmod.dat,3.0,0.5478928611475171,0.0070597497540302,7.0,Peak,0.9343010278710953,0.13430102787109544
UGC09037,2.285472599972545,5,UGC09037_rotmod.dat,2.999999999999763,0.3393074635557031,0.013214578439995,18.0,Peak,0.2854725999725449,0.0
UGC09133,0.9813485943587317,5,UGC09133_rotmod.dat,0.7088474319135272,1.529964879212225,0.0328026497230198,47.0,Transition,1.0186514056412683,1.2186514056412685
UGC09992,1.245350965396988,5,UGC09992_rotmod.dat,0.3230515061900832,1.901040934719264,0.0034022116210916,5.0,Transition,0.7546490346030119,0.9546490346030121
UGC10310,1.9569626671545157,5,UGC10310_rotmod.dat,1.532567808280861,0.4869649917558311,0.0026803019215584,7.0,Peak,0.04303733284548428,0.24303733284548446
UGC11455,2.665561913966828,5,UGC11455_rotmod.dat,1.1570152932041675,2.999999998529368,0.0083215489816306,31.0,Diffus,0.6655619139668278,0.0
UGC11557,3.329774068132628,5,UGC11557_rotmod.dat,2.7222760623740268,2.9999999998069,0.0639970479602384,6.0,Diffus,1.329774068132628,0.5297740681326282
UGC11820,2.5537083768976196,5,UGC11820_rotmod.dat,0.7981495543309588,3.0,0.0024434154474684,10.0,Diffus,0.5537083768976196,0.0
UGC11914,1.7600570524110162,5,UGC11914_rotmod.dat,2.1933052140937384,3.0,0.0024665847000378,58.0,Diffus,0.23994294758898382,0.439942947588984
UGC12506,1.628725862908811,5,UGC12506_rotmod.dat,0.6606284217414315,0.7565721995074355,0.0038245893516058,31.0,Peak,0.37127413709118895,0.5712741370911891
UGC12632,2.1309322404951,5,UGC12632_rotmod.dat,1.2739158591601536,0.679548670256896,0.0011087307106236,15.0,Peak,0.13093224049509988,0.0690677595049003
